id,difficulty,start_x,start_y,end_x,end_y,height,width,map
100000,03,030,060,010,018,064,064,1111111000000000000000000000000011111000000000000000000000000000111111100000000000000000000000001111111000000000000000011111111111111110000000000000000000000000111111100000011111000001111111111111111000000000000000000000000000111110000001111100000111111111111111100000000000000000000000000011111000000111110000011111111111111110000000000000000000000000001111100000011111001111111111111111111000000000000000000000000000000000000001111100111111111111000000000000000000000000000000000000000011111110000011111111111100000000000000000000000000000000000000001111111000001111111111110000000000000000000000000000000000001111111111100000111111111111000000000000000000000000000000000000111111111110000000000000000000000000000000000000000000000000000111111111111000000000000000000000000000000000000000000000000000011111111111100000000000000000000000000000000000000000000000000001111111111110000000000000000000000000000000000000000000000000000111111100000000000000000000000000000000000000000001111111000000011111110000000000000000000000000000000000000000000111111100000001111111000000000000000000000000000000000000000000011111110000000111111100000000000000000000000000000000420000000001111111000000000000000000000000000000000000000000000002000000000111111100000000000000000000000000000000000000000000000200000000011111110000001111111110000000000000000000000000000000020000000001111111000000111111111000000000000000000000000000000002000000000000000000000011111111100000000000000000000000000000000200000000000000000000001111111110000000000000000000000000000000020000000000000000111111111111111000000000000000000000000000000002000000000000000011111111111111100000000000000000000000000000000200000000000000001111111111111110000000000000000000000000000000020000000000000000111111111111111000000000000000000000000000000002000000000000000011111111111111100000000000000000000000000000000220000000000000001111111111000000000000000000011111110001111111112000000000000000111111111100000000000000000001111111000111111111200000000000000011111111100000000000000000000111111100011111111120000000000000001111111110000000000000000000011111110001111111112000000000000000000011111000000000000000000001111111000111111111200000000000000000001111100000000000000000000111111100011111111120000000000000011111111110000000000000000000011111110001111111112000000000000001111111111000000000000000000001111111000111111111200000000000000111110000000000000000000000000111111100011111111120000000000000011111000000000000011111000000000000000000000000002000000000000001111100000000111111111100000000000000000000000000200000000000000000000000000011111111110000000000000000000000000020000000000000000000000000001111111111000000000000000000000000002000000000000000000000000000111111111100000000000000000000000000200000000000000000000000000011111110000000000000000000000000000020000000000000000000000000001111111000000000000000000000000000002000000000000000000000000000111111100000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000001111100000000000000000000000000211111000000000000000000000000000111110000000000000000000000000021111100000000000000000000000000011111000000000000000000000000002111110000000000000000000000000001111100000000000000000000000000211111000000000000000000000000000111110000000000000000000000000021111100000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000022220000000000000000000000000000000000000000000000000000000011111112000000000000000000000000000000000000000000000000000000001111111200000000000000000000000000000000000000000000000000000000111111120000000000000000000000000000000000000000000000000000000011111112222222222222223000000000000000000000011111000000000000001111111000000011111000000000000000000000000001111100000000000000111111100000001111100000000000000000000000000111110000000000000011111110000000111110000000000000000000000000011111000000
100001,03,038,011,051,005,064,064,0000000000000000000000000111110000000000000000000000000111111111000000000000000000000000011111000000000000000000000000011111111100000001111100001111111001111100000000000000000000000001111111110000000111110000111111100111110000000000000000000000000111111111000000011111000011111110000000000000022222222222220000011111111100000001111100001111111000000000000002000011111112240000000000000000000111110000111111100000000000000211111111111000000000000000000000000000000011111110000111111111021111111111100000000000000000000000000000001111111000011111111102111111111110000000000000000000000000000000000000000001111111110211111111111000000000000000000000000000000000000000000111111111021111111111100000000000000000000000000000000000000000011111111102300111111111110000000000000000000000000000001111100001111111111100011111111111000000000000000000000000000000111110000111111111110001111111111100000000000000000000000000000011111000011111111111000111111111110000000000000000000000000000001111100001111111111100000001111111000000000000000000000000000000111110000000111111110000000111111100000000000000000000000000000000000000000011111111000000011111110000000000000000000000000000000000000000001111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110000000000000000000000000000000000000000000000000000000001111111110111111111000000000000000000000000000000000000000000000111111111011111111100000000000000000000000000000000000000000000011111111101111111110000000000000000000000000000000000000000000001111111110111111111000000000000000000000000000000000000000000000111111111011111111100000000000000000000000000000000000000000000011111110001111111110000000000000000000000000000000000000000000000000000000111111111000000000000000000000000111111111000000000000000000000011111111100000000000000000000000011111111100000000000000000000001111111110000000000000000000000001111111110000000000000000000000000000000000000000000000000000000111111111000000000000000000000000000000000000000000000000000000011111111100000000000000000000000000000000000000000000000000000001111111110011111111100000000000000000000000000000000000000000000111111111001111111110000000000000000000000000000000000000000000011111111111111111111000000000000000000000000000000000000000000001111111111111111111100000000000000000000000000000000000000000000000000000111111111110000000011111110000000000000000000000011111110000000011111111111000000001111111000000000000000000000001111111000000001111111111100000000111111100000000000000000000000111111100000000111111111110000000011111110000000000000000000000011111110000000011111111111000000001111111000000000000000000000001111111000000000011111110000000000111111100000000000000000000000111111100000000001111111000000000011111110000000000000000000000011111110000000000111111100000000000000000000000000000000000000000000000000000000011111110000000000000000000000000000000000000000000000111110000001111111000000000000000000000000000000000000000000000011111000000000000000000000000000000000000000000000000000000000001111111111110000000000000000000000000000000000000000000000000000111111111111000000000000000011111111100000000000000000000000000011111111111100000000000000001111111110000000000000000000000000000000011111110000000000000000111111111000000000000000000000000000000001111111000000000000000011111111100000000000000000000000000000000111111100000000000000001111111110000000000000000000000000000000011111110000000000000000111111111000000000000000000000000000000000000000000000000000000011111111100000000000000000000000000000000000000000000000000000001111111110000000000000000000000000000000000000000000000000000000111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
100002,03,027,001,039,045,064,064,0000000000000000000000000000000000000111110000000000000000000000000000000000000000000000000322220000011111000000000000000000000011111111000000000000000000000002000001111100000000000000000000001111111100000000000000000000000200000111110000000000000000000000111111110000000000000000000000020000011111000000000000000000000011111111000000000000000000000002000000000000000000000000000000001111111100111111100000000000000200000000000000000000000000000000111111110011111110000000000000020000000000000000000000000000000011111111001111111000000000000002000000000000000000000000000000001111111100111111100000000000000200000000000000000000000000000000111111110011111110000000000000020000000000000000000000000000000011111000001111111000000000000002000000000000000000000000000000001111100000111111100000000000000200000000000000000000000000000000111110000000000000000000000000020000000000000000000000000011111011111000000000000000000000000002000000000000000000000000001111101111100000000000000000000000000200000000000000000000000000111110111110000000000000000000111110020000000000000000000000000011111011111110000000000000000011111002000000000000000000000000001111101111111110000000000000001111100200000000000000000000000000000000111111111000000000000000111110020000000000000000000000000000000011111111100000000000000011111002111111111000000000000000000000001111111110000000000000000000000211111111100000000000000000000000111111111000000000000000000000021111111110000000000000000000000011111111100000000000000000000002111111111000000000000000000000000011111110000000000000000000000211111111100000000000000000000000000111110000000000000000000000021111111110000000000000000000000000011111000000000000000000000002111111111000000000000000000000000001111100000000000000000000000211111111100000000000000000000000000111110000000000000000111110021111111110000000000000000000000000011111000000000000000011111112000000000000000000000000000000000000000111111100000000001111111200000000000000000000000000000000000000011111110000000000111111120000000000000000000000000000000000000001111111000000000011111112000000000000000000000000000000000000000111111100000000001111111200000000000000000000000000000000000000011111110000000000111111120000000000000000000000000000000000000001111111000011111111111112000000000000000000000000000000000000000111111100001111111110000200000000000000000000000000000000000000000000000000111111111000020000000000000000111111111000000000000000000000000011111111100002000000000000000011111111100000000000000000000000001111111110000200000000000000001111111110000000000000000000000001111111111000020000000000000000111111111000000000000000000000000111111111100002000000000000000011111111100000000000000000000000011111111110000200000000000000001111111110000000000000001111100001111111111000020000000011111111111111111000000001111111111110000111110000000002000000001111111111111111100000000111111111111000000000000000000222222224111111111111111110000000011111111111100000000000000000000000000011111111100000000000000001111111111110000000000000000000000000001111111110000000000000000111111101111100000000000000000000000000111111111000000000000000011111110111110000000000000000000000000011111111110000000000000001111111011111000000011111111100000000001111111111000000000000000000000001111100000001111111111100000000111111111100000000000000000000000111110000000111111111110000000000000111110000000000000000000000000000000000011111111111000000000000011111000000000000000000000000000000000001111111111100000000000000000000000000000000000000000000000000000111111111110000000000000000000000000000000000000000000000000000011111111111000000000000000000000000000000000000000000000000000001111111111100000000000000000000000000000000000000111111111000000111111111000000000000000000000000000000000000000011111111100000000000000000000000000000000000000000000000000000001111111110000000000000000000000000000000000000000000000000000000111111111000000000000000000000000000000000000000000000000000000011111111100000000000000000000000000000000000000000000000000000001111111110000000000000000000000000000000000000000000000000
100003,03,011,050,051,037,064,064,0000000000000000000000000000000000000000000111111111000000000000000000000000000000000000000000000000000000011111111100000000000000000000000000000000011111000000000000000001111111110000000000000001111100000000000001111100000000000000000111111111000000000000000111110000000000000111110000000000000000011111111100000000000000011111000000000000011111000000000000000001111111110000000000000001111100000000000001111100011111110000000000000000000000000000000111110000000000000000000001111111000000000000000000000000000000000000000000000000000000000111111100000000000000000000000000000000000000000000000000000000011111110000000000000111110000000000000000000000001111111000000001111111000000000000011111000000000000000000000011111111100000000111111100000000000001111100000000000000000000001111111110000000011111110000000000000111110000000000000000000000111111111000000000000000000000000000011111000000000000000000000011111111100000000000000000000000000000000000000000000000000000001111111110000000000000000000000000000000011111111111000000000000001111111000000000000000000000000000000001111111111100000000000000000000000000001111100000000000000000000111111111110000000000000000000000000000111110000000000000000000011111111111000000000000000000000000000011111000000000000000000001111111111100000000000000000000000000001111100000000000000000000111111111110000000000000000000000000000111110000000000000000000011111111111000000000000000000000000000000000000000000000000000001111111110000000000000000000000000000000000000000000000000000000111111111000000000000000000000000000000000001111111110000000000000000000000000000000000000111110011111110000111111111000000000000000000000000000000000000011111001111111000011111111100000000000000000000000000000000000001111100111111100001111111110000000000000000000000000000000000000111110011111110000111111111000000000000000000000000000000000000011111001111111000011111111100000000000000000000000000000000000000000000111111100001111111111111111110000000000000001111111110000000000011111110000111111111111111111000000000000000111111111000000000000000000000011111111111111111100000000000000011111111100000000000000000000000000000001111111110000000000000001111111110000000000000000000000000000000111111111000000000000000111111111000000000000000000000000000000011111111100000000000000011111111111000000000000000000000000000001111111110000000000000001111111111100000000000000000000000000000111111111400000000000000111111111110000000000000000000000000000111111111120000000000000011111111111000000000000000011111110000011111111122000000011111000011111111100000000000000001111111000001111111112000000001111100001111111110000000000000000111111100000111111111200000000111110000111111111000000000000000011111110000011111111120000000011111000011111111100000000001111111111111000001111111112000000001111100001111111110000000000111111111111100000111111111200000000111110000000000000000000000011111111111110000011111111120000000011111000000000000000000000001111111000000000001111111112000000000000000000000000000000000000111111100000000000000000000200000000000000000000000000000000000011111110000000000000000000020000000000000000000000000000000000001111111000000000000000000002000000000000000000000000322222222222222222222222222222222222222200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111110000000000000000000000000000000000000000000000000000000111111111000000000000000011111000000000000000000000000000000000011111111100000000000000001111100000000000000000000000000000000001111111110000000000000000111110000000000000000000000000000000000111111111000000000000000011111000000000000000000000000000000000011111111100000000000000001111100000000000000000000000000000000001111111110000111110000000000000011111110000000000000000000000000111111111000011111000000000000001111111000000000000000000000000011111111100001111100000000000000111111100000000000000000000000000000000000000111110000000000000011111110000000000000000000000000000000000000011111000000000000001111111000
100004,03,057,019,062,034,064,064,0000000000000000011111110000000000000000000000000000111111100000000000000000000001111111000000000000000000000000000011111110000000000000000000000111111100000000000011111000000000001111111000000000000000000000011111110000000000001111100000000000111111100000000000000000000001111111000000000000111110000000000011111110000000000000000000000111111100000000000011111000000000001111111000000000000000000000011111110000000000001111100000000000111111100000000000000000000001111111110000000000000000000000000000000000000000000000000000000111111111000000000000000111111100000000000000000000000000000000011111111100000000000000011111110000000000000000000000000000000001111111110000000000000001111111000000000000000000000000000000000111111111000000000000000111111100000000000000001111111110000000011111111100000000000000011111110000000000000000111111111000000001111111110000000000000001111111000000000000000011111111100000000111111111111111111100000111111100000000000000001111111110000000011111111111111111110000000000000000000000000000111111111000000000000011111111111111000000000000000000000000000011111111100000000000001111111111111100000000000000000000000000001111111110000000000000111111111111110000000000000000000000000000111111111000000000000011111111100000000000000000000000000300000011111111100000000000001111111110000000000000000000000000020000000000000000000000000000111111111000000000000000000000000002000000000000000000000000000011111111100000000000000001111100000200000000000000000000000000000000000000000000000000000111110000020000000000000000000000000000000000000000000000000000011111000002000000000000000000000000000000000000000000000000000001111100000200000000000000000000000000000000000000000000000000000111110000020000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000020000000000000000000000011111000000000000000000000000000000000002000000000000000000000001111100000111110000000000000000000000000222224000000000000000000111110000011111000000000000000000000000000000001111100000000000011111111101111100000000000000000000000000000000111110000000001111111111110111110000000000000000000000000000000011111000000000111111111111011111011111000000000000000000000000001111111110000011111111111100000001111100000000000000000000000000111111111000001111111111110000000111110000000000000000000000000011111111100000111111111111000000011111000000000000000000000000001111111110000011111111111100000001111100000000000000000000000000111111111000001111111000000000000000000000000000000000000000000011111000000000000000000000000000000000000000000000000000000000001111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110000000000000000000000000000000000000000000000000000000001111111111110000000000000000000000000000000000000000000000000000111111111111000000000001111100000000000000000000000000000000000011111111111100000000000111110000000000000000000000001111111111111111111111110000000000011111000000000000000011111111111111111111111111111111000001111101111100000000000000001111111111111111111111111111111100000111110111110000000000000000111111111111111111111111011111110000011111000000000000000000000011111111111111111111111100000000000001111100000000000000000000001111111111111111111111110000000000000111110
100005,03,008,041,003,023,064,064,1111111111110000000000000000000000000000000000000000000000000000111111111111000000000000000000000000000000000000000000000000000011111111111100000000000000000000011111111100000000000000000000001111111111110000000000000000000001111111110000000000000000000000000001111111000000000000000000000111111111000000000000000000000000000111111100000000000000011111111111111100000000000000000000000000000000000000000000000001111111111111110000000000000000000000000000000000000000000000000111111111111111000000000000000000000000000000000000000000000000011111111111111100000000000000000000000000000000000000000000000001111111111111110000000000000000000000000000000000000000000000000111111111111111000000000000000000000000000000000000000000000000011111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111100000000000000000000000000000000000000000000000000000000000111110000000000000000000000000000000000000000000000000000000000011111000000000000000000000000000000000000000000001111111110000001111100000000000000000000000000000000000000000000111111111000000111110000000000000000000000000000000000000000000011111111100000000000000000000000000000000000000000000000000000001111111110000000000000000000000000000000000000000000000000000000111111111000000000000000000000000000000000000000000000000000000011111111100000000000000000000000000000000000042000000000000000001111111110000000000000000000000000000000000000200000000000000000111111111000000000000000000000000000000000111120000000000000000011111111100000000000000000000000000000000011112000000000000000001111111110000000000000000000000000000000001111200000000000000000111111111000000000000011111111100000000000111120000000000000000011111111100000000000001111111110000000000011112000000000000000000000000000000000000000111111111000000000001111200000000000000000000000000000000111111111111111100000000000111120000000000000000000000000000000011111111111111110000000000000002000000000000000000000000000000001111111111111111000000000000000222222222000000000000000000000000111111111111111100000000000000001111111200000000000000000000000011111111111111110000000000000000111111120000000000000000000000001111111111111111000000000000000011111112000000000000000000000000111111100000011111000000000000001111111200000000000000000000000000000000000001111100000000000000111111120000000001111100000000000000000000000111110000000000000011111112000000000111110000000000011111111111011111000000000000111111111200111110011111000000000001111111111101111100000000000011111322220011111001111100000000000111111111110000000000000000001111100000001111100111110000000000011111111111000000000000000000111110000000111110000000000000000001111111111100000000000000011111111000001111111110000000000000000111111111000000000000000001111000000000111111111000000000000000011111111100000000000000000111100000000011111111100000000000000001111111110000000000000000011110000000001111111110000000000000000111111111111110000000000001111000000000111111111000000000000000000000000011111000000000000000000000000011111111100000000000000000000000001111100000111110000000000000001111111110000000000000000000000000111110000011111000000000000000111111111000000000000000000000000011111000001111100000000000000011111111100000000000000000000000000000000000111110000000000000000000000000000000000000000000000000000000000011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111111111000000000000000000000000000000000000000000000000000001111111111100000000000000000000000000000000111111100000000000000111111111110000000000000000000000000000000011111110000000000000011111111111000000000000000000000000000000001111111000000000000001111111111100000000000000000000000000000000111111100
