id,difficulty,start_x,start_y,end_x,end_y,height,width,map
100006,03,003,000,000,021,064,064,0003200000000000000000000000001111111000000000000000000000000000000021111100000000000000000000111111100000000000000000000000000000002111110000000000000000000011111111100000000000000000000000000000211111000000000001111111001111111110000000000000000000000000000021111100000000000111111100111111111000000000000000000000000000002111110000000000011111110011111111100000000000000000000000000000222000000000000001111111001111111110000000000000000000000000000000200000000000000111111100111111111000000000000000000000000000000020000000011111011111110011111111100000000000000000000000000000002000000001111101111111001111111110000000000000000000000000111111200000000111110000000000111111111000000000000000000000000011111120000000011111000000000011111110000000000000000000000001111111112000000001111100000000000000000000000000000000000000000111111111200000000000000000000000000000000000000000000000000000011111111120000000000000000000000000000000000000000000111111111001111111112000000000000000000000000000000000000000000011111111100111111111200000000000000000000000000000111111111000001111111110000011111120000000000000000000011111110011111111100000111111111000001111112000000000000000000001111111001111111110000011111111100000222222200011111000000000000111111100111111111000001111111111111120000000001111100000000000011111110011111111100000111111111111114000000000111110000000000001111111001111111110000011111111111111000000000011111000000000000111111100111111111000001111111111111100000000001111100000000000011111110011111111100000000000111111110000000000000000000000000000000000001111111110000000000011111110000000000000000000000000000000000000000000000000000000001111111000000000000000000000000000000000000000000000000000000000111111100000000000000000000000000000000000000000000000000000000011111110000000000000000000000000000000000000000000000000000000001111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111000000000000000000000000000000000000000000000000000000000111111100000000000000000000000000000000000000000000000000000000011111110000000000000000000000000000000000000000000000000000000001111111000000111111100000000000000000000000000000000000000000000111111100000011111110000000011111111100000000000000000000000000111111111000001111111000000001111111111111000000000000000000000011111111100000111111100000000111111111111100000000000000000000001111111110000011111110000000011111111111110000000000000000000000111111111000001111111000000001111111111111000000000000000000000011111111100000111111100000000111111111111100000000000000000000001111111110000000000000000000011111111100000000000000000000000000111111111000000000000000000001111111111111111000000000000000000011111111100000000000000000000111111111111111100000000000000000001111111110000000000000000000000000001111111110000000000000000000000000000000000000000000000000000000111111111000000000000000000000000000000000000000000000000000000011111111100000000000000000000000000000000000000000000000000000001111111110000000000000000000000000000000000000000000000000000000111111111000000000000000000001111100000000000000000000000000000011111111100000000000000000000111110000000000000000000000000000001111111110000000000000000000011111000000000000000000000000000000000000000000000000000000000001111100000000000000000000000000000000000000000000000000000000000111110000000000000000000000000000111111100000000000000000000000000000000000000000000000000000000011111110000000000000000000000000000000000000000000000000000000001111111000000000000000000000000000000000000000000000000000000000111111100000000000000000000000000000000000000000000000000000000011111110000000000000000000000000000000000000000000000000000000001111111000000000000000000000000000000000000000000000000000000000111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
100007,03,049,041,025,043,064,064,1111111100000000000000000000000000000000000000000000000000000000111111110000000000000000000000000000111111100000000000000000000011111111000000000000000000000000000011111110000000000000000000001111111100000000000000000000000000001111111000000000000000000000111111110000000000000000000000000000111111100000000000000000000011111111000000000000000000000000000011111110000000000000000000001111111100000000000000000000000000001111111000000000000000000000111111110000000000000000000000000000111111100000000000000000000011111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111100000000000000000000000000000000000000000000000000000001111111110000000000000000000000000000000000000000000000000000000111111111000000000000000000000000000000000000011111000000000000011111111100000000000000000000000000000000000001111100000000000001111111110000000000000000000000000000000000000111110000000000000111110000000000000000000000000000000000000000011111100000000000000000000000000000000000000000000000000000000001111110000000000000000000000000000000000000000000000000000000000011111000000000000000000000000000000000000000000000001111111000001111100000000000000000000000000000000000000000000000111111100000111110000000000000000000000000000000000000000000000011111110000000000000000000000000000000000000000000111111100000011111111000000000000000000000000000000000000000000011111110000001111111100000000000000000000000000000000000000000001111111000000111111110000000000000000000000000000000000000000000111111100000011111111000000000000000000000000000000000000000000011111110000001111100000000000000000000000000000000000000000000001111111000000000000000000000000000000000000000000000000000001111111111100000000000000000000000000000000000000000000000000000111111100000000000000000000000000000000000000000000000000000000011111111111111000000000011111000000000000000000000000000000000001111111111111100000000001111100000000000000000000000000000000000111111111111111110000001111110000000000000000000000000000000000011111111111111111000000111111000000000000000000000000000000000001111111111111111100000011111100000000000000000000000000000000000000000011111111111111101111100000000000000000000000000000000000000000001111111111111110111110000000000000000000000000000000000000000000000111111111111110000000000000000000000000000000000000000000000000011111111111111000000000000000000000000000000000000000000000000000001111111111100000000000000000000000000000000000000000000000000000111111111113000000000000000000000000000000000000000000000000000011111111111200000000000000000000000000000000000000042000000000001111111110020000000000000000000000000000000000000000200000000000111111111002000000000000000000000000000000000000000022222222222222222222222200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111110000000000000000000000000000000000000000000000000000000000011111000000000000000000000000000000000000000000000000000000000001111100000000000000000011111110000000000000000001111100000000000111110000000000000000001111111000000000000000000111110000000000011111000000000000000000111111100000000000000000011111000000000000000000000000000000000011111110000000000000000001111100000000000000000000000000000000001111111000000000000000000111110000000000000000000000000000000000111111100000000000011111110000000000000000000000011111110001111111111110000000000001111111000000000000000000000001111111000111110000000000000000000111111100000000000000000000000111111100011111000000000111111100011111110000000000000000000000011111110001111100000000011111110001111111000000000000000000000001111111000111110000000001111111000111111100000000000000000000000111111111111000000000000111111100011111110000000000000000000000011111111111100000000000011111110000000000000000000000000000000000000000111110000000000001111111000000000000000000000000000000000000000011111000
100008,03,003,004,014,033,064,064,0000000000000000000000000000000000000001111111000000000000000000000000000000000000000000000000000000000111111100000000000000000000000000000000000000000000000000000000011111110000000000000000000000000000000000000000000000000000000001111111000000011111110000111322222222222200000000000000000000000111111100000001111111000011100000000000020000000000000000000000000000000000000111111100001110000000000002000000000000000000000000000000000000011111110000111000000000000200000000000000000000000000000000000001111111000011100000000000020000000000000000000000000001111100000111111100000000000000000002000000000000000000000000000111110000011111110000000000000000000200000000000000000000000000011111000000000000000000000000000000020000000000000000000000000001111100000000000000000000000000000002000000000000000000000000000111110000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000111111110000000200000000000000000000000000000000000000000111111111111111000000020000000000000000000000000000000000000000011111111111111100000002111111111000000000000000000000000000000001111111111111110000000211111111100000000000000000000000000000000111111111111111000000021111111110000000000000111110000000000000011111111111111100000002111111111000000000000011111000000000000001111111111111110000000211111111100000000000001111100000000000000111111111111110111110021111111110000000111111111110000000000000011111111111111011111002111111111000000011111111111000000000000001111111111111101111100211111111100000001111111110000000000000000011111011111110111110021111111110000000111111111000000000000000001111101111111011111002220000000000000011111111100011111110000000111110111111100000111112000000000000001111111110001111111000000011111011111110000011111200000000000000111111111000111111100000000000000000000000001111120000000000000011111111100011111110000000000000000000000000111112000000000000001111111110001111111000000000000000000000000011111200000000000000000000000000111111100000000000000000000000000042220000000000000111111111000011111110000000000000000011111111100001111111110000011111111100001111111000000000000000001111111110000111111111000001111111110000111111100000000000000000111111111000011111111100000111111111000011111110000000000000000011111111100001111111110000011111111100000000000000000000000000001111111110000111111111000001111111110000000000000000000000000000111111111000011111111100000111111111000000000000000000000000000011111111100001111111110000011111111100000000000000000000000000001111111110000111111111000001111111110000000000000000000000001111111111111000011111111100000000000000000000000000000000000000111111000000000000000000000000000000000000000000000000000000000011111100000000000000000000000000000000000000000000000000000000001111110000000000000000000000000000000000000000000000000000000000111111000000000000000000000000000000000000000000000000000000000011111100000000000000000000000000000000000000000000000000000000001111110000000000000000000000000001111111110000000000000000000000000000000000000000000000000000000111111111000000000000000000000000000000000000000000000000000000011111111100000000000000000000000000000000000000000000000000000001111111110000000000000000000000000000000000000000000000000000000111111111000001111111000000000000000000000000000000000000000000011111111100000111111100000000000000000000000000000000000000000001111111110000011111110000000000000000000000000000000000000000001111111111001111111111000000000000000000000000000000000000000000111111111100111111111100000000000000000000000000000000000000000011111110000011111111110000000000000000000000000000000000000000001111111000001111111111000000000000000000000000000000000000000000111111100000111110000000000000000000000000000000000000000000000011111110000000000000000000000000000000000000000000000000000000001111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
100009,03,015,030,037,036,064,064,0000000000000000000000000000000000001111111110000000000000000000000000000000000001111111000000000000111111111000000000000000000000000000000000000111111100000000000011111111100000000000000000000000000000000000011111110000000000001111111110000000000000000000000000000000000001111111000000000000111111111000000000000000000000000000000000000111111100000000000011111111100000000000000000000000000000000000011111110000000000001111111110000000000000000000000000000000000001111111000000000000111111111000000000000000000000000000000000000000000000000000000011111111111000000000000000000000000000000000000000000000000111111111001111100000000000000000000000000000000000000000000000011111111100111110000000000000000000000000000000000000000000000001111111110011111000000000000000000000000000000000000000000000000111111111001111100000000000000000000000000000000000000000000000011111111100000000000000000000000011111111100000000000000000000001111111110000000000000000000000001111111110000000000000000000000111111111000000000000000000000000111111111000000000000000000000011111111100000000000000000000000011111111100000000000000001111111111111110000000000000000000000001111111110000000000000000111111100000000000000000000000000111110111111000000000000000000011111110000000000000000000000000011111011111100000000000000000001111111000000000000000000000000001111100000000000000000000000000111111100000000000000000000000000111110000000111111100000000000011111110000000000000000000000000011111000000011111110000000000001111111000000000000000000000000000000000000001111111000000000000000000000000000000000000000000000000000000000111111100000000000000000000000000000000000000000000000000000000011111110000000011111110000000000000000000000000000000000000000001111111110000001111111000000000000000000000000000000000000000000111111111000000111111100000000000000000000000000011111110000000000111111100000011111110000000000000000000000000001111111000000000011111113000001111111000000000000000000000000000111111100000000001111111200000111111100000000000000000000000000011111110000000000111111120000011111110000000000000000000000000111111111000000000011111112000000000000000000000000000000000000011111111100000000000000000200000000000000000000000000000000000001111111110011100000000000020000000000000000000000000000000000000111111100001110000000000002222222222222222222222400000000000000011111110000111000000000000011111110000000000000000000000000000001111111000011100000000000001111111000000000000000000000000000000111111100001110000000000000111111100000000000000000000000000000000011111110000000000000000011111110000000000000000000000000000000001111111000000000000000001111111000000000000000000000000000000000111111100000000000000000111111100000000000000000000000000000000011111110000000000000000011111110000000000000000000000000000000001111111000000000000000000000000000000000000000000000000000000000111111100011111110000000000000000000000000000000000000000000000011111110001111111000000000000000000000000000000000000000000000000000000000111111100000000011111111100000000000000000000000000000000000000011111110000000001111111110000000000000000000000000000000000000001111111000000000111111111000000000000000000000000000000000000000111111100000000011111111100000000000000001111111110000000000000011111110000000001111111110000000000000000111111111000000000000000000000000000000111111111000000000000000011111111100000000000000000000000000000011111111101111111000000001111111110000000000000000000000000000001111111110111111100000000111111111000000000000000000000000000000111111111011111110000000011111111100000000000000000000000000000000000000001111111000000001111111110000000000000000000000000000000000000000111111100000000111111111000000000000001111100000000000000000000011111110000000011111111110000000000000111110000000000000000000001111111000000000001111111000000000000011111000000000000000000000000000000001111111111111100000000000001111100000000000000000000000000000000111111111111110000000000000111110000000000000000000000000000000011111111111111000000000000000000000000000000000000000000000000001111111111111100000000000
100010,03,061,042,020,030,064,064,0000000000000000000000000001111111110000000000000111111111011111000000000000000000000000000111111111000000000000011111111101111100000000000000000000000000011111111100000000000001111111110111110000000000000000000000000001111111110000000000000111111111011111000000000000000000000000000111111111000000000000011111111101111100000000000000000000000000011111111100000000000000011111110111110000000000001111111000000001111111110000000000000001111111011111000011111110111111100000000111111111000000000000000000000001111100001111111011111110000000000000000000000000000000000000000000000000111111101111111000000000000000000000000000000000000000000000000011111110111111100000000000000000000000000000000000000000000000001111111011111110000000000000000000000000000000000000000000000000111111101111111110000000000000000000000000000000000000000000000011111110000011111000000000000000000000000000000000000000000000000000000000001111100000000000000000000000000000000000000000000000000111111100111110000000000000000000000000000000000000000000000000011111110011111000000000000000000000000000000000000000000000000001111111000000000000000000000000000000000000000000000000000000000111111100000000000000000000000000000000000000000000000000000000011111110000000000000000000000000000000000000011111110000000000001111111000000000000000001111111000000000000001111111000000000000111111100000000000000000111111100000000000000111111100000000000000000000000000000000000011111110000000000000011111110000000000000000000000000000000000001111111000000000000001111111000000000000000000000000000000000000111111100000000000000111111100000000000000000000000000000000000011111110000000000000011111110000000000000000000000000000000000001111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111110111111100000042000000000000000000000000000000000000000000011111011111110000000222222222222222222222222222222222222222220001111101111111000000000000000000000000000000000000000001111102000111110111111100000000000000000000000000000000000000000111110200011111011111110000000000000000000000000000000000000000011111020000000001111111000000000000000000000000000000000000000001111102000000000111111100000000000000000000000000000000000000001111111200000000000000000000000000000000000111110000000000000000111111120000000000000000000000000000000000011111000000000000000011111112000000000000000000000000000000000001111100000000000000001111111200000111111100000000000000000000000111110000000000000000111111120000011111110000000000000000000000011111000000000111111111111112000001111111000000000000000000000000000000000000011111111111111300000111111100001111111000000000000000000000000001111111110000000000011111110000111111100000000000000000000000000111111111000000000001111111000011111110000000000000000000000000011111111100000000000111111100001111111000000000000000000000000001111111111111000000000000000000111111100000000000000000000000000111111111111100000000000000000011111110000000000000000000000000011111111111110000000000000000001111111000000000000000000000000001111111111111000000000000000000000000000000000000000000000000000000000111111100000000000000000000000000000000000000000000000000000000011111110000000000000000000000000000000000000000000000000000000001111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111111100000000000001111000000011111111100000000000000000000001111111110000000000000111100000001111111110000000000000000000000111111111111111100000011110000000111111111000000000000000000000011111111111111110000001111000000011111111100000000000000000000001111111111111111000000111100000001111111110000000000000000000000111111111111111100000000000000000111111111000000000000000000000011111111111111110000000000
100011,03,062,059,048,014,064,064,0000000000000000000000000111111111000000000000000000000000011111000000000000000000000000011111111100000000000000000000000001111100000000000000000000000001111111110000000000000000000000000111110000000000000000000000000111111111000000000000000000000000011111000000000000000000000000011111111100000000000000000000000000000000000000000000000000000001111111110000000000000000000000000000000000000000000000000000000111111111000000000000000000000000000000000000000000000000000000011111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111100000000000000000000000000000000000000000000000000000000000111110000000000000000000000000000001111110000000000000000000000011111000000000000000111110011111110111111000000000000000000000001111100000000000000011111001111111011111100000000000000000000000111110000000000000001111142111111101111110000000000000000000000000000000000000000000111110211111111111111000111110000000000000000000000000000000000011111021111111111111100011111000000000000000000000000000000000000000002111111111111110001111100000000000000000000000000000000000000000211111111111100000111110000000000000000000000000000000000000000020001111111110000011111000000000000000000000000000000000000000002000111111111000000000000000000000000000000000000000000000000000200011111111100000000000000000000000000000000000000000000000000020001111111110000000000000000000000000000000000000000000000000002000111111111000000000000000000000000001111111000000000000000000200000000000000000000000000000000000000111111100000000000000000020000000000000000000000000000000000000011111110000000000000000002000000000000000000000000000000000000001111111000000000000000000200000000000000000000000000000000000000111111100000000000000000020000000000000000000000000000000000000011111110000000000000111112000000000000000000000000000000000000001111111000000000000011111200000000000000000000000000000000000000000000000000000000001111120000000000000011111110000000000000000000000000000000000000111112000000000000001111111000000000000000000000000001111100000011111200000000000000111111100000000000000000000000000111110000000000020000000000000011111110000000000000000000000000011111000000000002000000000000001111111000111111111110000000000001111100000000000200000000000000111111100011111111111000000000000111110000000000020000000000000011111111111111111111100000000000000000000000000002000000000000001111111111111111111110000000000000000000000000000200000000111110111111111111111111111000000000000000000000000000020000000011111011111111111111111110000000000000000000000000000002000000001111101111111111111111111000000000000000000000000000000200000000111110111111100011111111100000000000000000000000000000020000000011111011111110001111111111110000000000000000000000000002222222220000001111111000000001111111000000000000000000000000000011111112000000111111100000000111111100000000000000000000000011111111111200000011111110000000011111110000000000000000000000001111111111120000000000000000000001111111000000000000000000000000111111111112000000000000000000000111111100000000000000000000000011111111111200000000000000000000011111110000000000000000000000001111111111120000000000000000000000000000000000000000000000000000111111111112000000000000000000000000000000000000000000000011111111111110000200000000000000000000000000000000000000000000001111111110000000020000000000000000000000000000000000000000000000111111111000000002000000000000000000000000000000000000000000000011111111100000000200000000000000000000000000000000000000000000001111111110000000020000000000000000000000000000000000000000000000111111111000000002000000000000000000111110000000000000000000000011111111100000000200000000000000000011111000000000000000000000001111111110000000022222300000000000001111100000000000000000000000111111111000000000000000000000000000111110000000000000000000000000011111000000000000000000000000000011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
100012,03,014,040,040,014,064,064,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110000000000000000000000000000000000000000000000000000000001111111000000111110000000000000000000000000000000000000000011111111111111111011111000000000000000000000000000000000000000001111111111111111101111100000000000000000000000000000000000000000111111111111111110111110000000000000000000000000000000000000000011111111111111111011111000000000000000000000011111111100000000001111111111111111100000000000000000000000000111111111110000000000111111100011111110000000000000000000000000011111111111000000000011111110001111111000000000000000000000000001111111111122222222222222224000000000000000000000000000000000000111111111112000000000000000000000000000000000000000000000000000011111111111200000000000000000000000000000000000000000000000000000011111111120000000000000000000000000000000000000000000000000000001111111112000000000000000000000000000000000000000001111111110000111111111200000000000000000000000000000000000000000111111111000000000022220000000000000000000000000000000000000000011111111100000000002000000000000000000000000000000000000000000001111111110000000000200000000000000000000000000000000000000000000111111111000000000020000000000000000000000000000000000000000000011111111100000000002000000000000000000000000000000000000000000001111111110011111000200000000000000000000000000000000000000000000111111111001111100020000000000000000000000000000000000000000000011111111100111110002000000000000000000000000000000000000000000000000000000011111111200000000000000000000000000000000111111100000000000000111111111120000000000000000000000000000000011111110000000000000011111111112000000000000000000000000000000001111111000000000000001111111111200000000000000000000000000000000111111100000000000000111111111120000000000000000000000000000000011111110000000000000011111110002000000000000000000000000000000001111111000000000000001111111000200000000000000000000000000000000111111100000011111111111111100020000000000000000000000000000000000000000000001111111110000000002000000000000000000000000000000000000000000000111111111000000000200000000000000000000000000000000000000000000011111111100000000020000111111100000000000000000000000000000000001111111110000000002000011111110000000000001111100000000000000000111111111003222222200001111111000000000000111110000000000000000011111111100000000000000111111100000000000011111000000000000000011111111110000000011111111111110000000000001111100000000000000001111111111000000001111111111111000000000000111110000000000000000111111111000000000111111111111100000000000000000000000000000000011111111100000000011111111100000000000000000000000000000000000001111111110000000001111111110000000000000000000000000000000000000111111111000000000111111111000000000000000000000000000000000000011111111100000000011111111100000000000000000000000000000000000001111111110000000001111111110000000000000000000000000000000000000111111111000000000111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111110000000000000000000001111100000000000000001111100000000111111111000000000000000000000111110000000000000000111110000000011111111100000000000000000000011111100000000000000011111000111111111111110000000000000000000001111110000000000000001111100111111111111111100011111111100000000111111000000000000000111110011111111111111110001111111110000000001111100000000000000000000001111111111111111000111111111000000000111110000000000000000000000111111111111111100011111111100000000000000000000000000000000000011111011111111110001111111110000000000000000000000000000000000000000000111111111000111111111000000000000000000000000000000000000000000011111111100011111111100000000
